Unnamed: 0,Xlig1_aver,B1,B2,TYPE,NH3_ligand,DG,index,DG-class,Unnamed: 8,KMeans_Cluster,DBSCAN_Cluster,Agglo_Cluster,Y=0.5*X+0.5*0.5*(B1+B2),variances,,,,,
none-PMe2-Et,0,2.276666667,2.3,0,0,-6.3,65,1,,,,,1.144166667,0.030072976,,,,,
NH2Ph-Et-NMe2,2.342971888,2.3,2.371111111,0,1,-2.9,66,1,,,,,2.339263722,0.02949201,,,,,
NH2Ph-H-Et,2.342971888,2.2,2.3,0,1,-2.4,67,1,,,,,2.296485944,0.029165618,,,,,
none-Ph-Me,0,2.390909091,2.2875,1,0,2.9,68,2,,,,,1.169602273,0.029095121,,,,,
CAAC-Et-PMe2,2.157687651,2.3,2.276666667,0,3,33.89,69,4,,,,,2.223010492,0.028911086,,,,,
PH2C6F5-C6F5-tBu,1.864473684,3.2,2.307692308,0,2,22.6,70,4,,,,,2.309159919,0.028727082,,,,,
none-C6F5-PMe2,0,3.2,2.276666667,0,0,-7.9,71,1,,,,,1.369166667,0.028502378,,,,,
none-Ph-Ph,0,2.390909091,2.390909091,1,0,3.5,72,2,,,,,1.195454546,0.028365636,,,,,
CAAC-tBu-NMe2,2.157687651,2.307692308,2.371111111,0,3,43.73,73,4,,,,,2.24854468,0.028353379,,,,,
NH2C6F5-H-NMe2,2.2,2.2,2.371111111,0,1,-4,74,1,,,,,2.242777778,0.027855081,,,,,
PH2F-Ph-Et,1.784009547,2.390909091,2.3,0,2,14,75,4,,,,,2.064732046,0.027008383,,,,,
NH2Ph-F-OMe,2.342971888,3.98,2.518,0,1,-5.8,76,1,,,,,2.795985944,0.026910511,,,,,
NH2Ph-Cl-NMe2,2.342971888,3.16,2.371111111,0,1,0.4,77,2,,,,,2.554263722,0.026818255,,,,,
none-Br-SiMe3,0,2.96,2.257692308,0,0,-13.7,78,1,,,,,1.304423077,0.026373604,,,,,
none-Ph-Et,0,2.390909091,2.3,1,0,3.3,79,2,,,,,1.172727273,0.026346849,,,,,
PH2Ph-C6F5-CN,1.96746988,3.2,2.795,0,2,26.7,80,4,,,,,2.48248494,0.026341983,,,,,
PH2F-CN-Et,1.784009547,2.795,2.3,0,2,28.1,81,4,,,,,2.165754774,0.026314761,,,,,
PH2C6F5-Me-Et,1.864473684,2.2875,2.3,0,2,13.3,82,4,,,,,2.079111842,0.026042274,,,,,
PH2Ph-C6F5-tBu,1.96746988,3.2,2.307692308,0,2,23.4,83,4,,,,,2.360658017,0.025951824,,,,,
NH2Ph-C6F5-OMe,2.342971888,3.2,2.518,0,1,8.8,84,3,,,,,2.600985944,0.025723,,,,,
PH2F-Et-PMe2,1.784009547,2.3,2.276666667,0,2,12.7,85,4,,,,,2.03617144,0.025559423,,,,,
NH2Ph-C6F5-tBu,2.342971888,3.2,2.307692308,0,1,14.1,86,4,,,,,2.548409021,0.025558464,,,,,
none-PMe2-Me,0,2.276666667,2.2875,0,0,-14.3,87,1,,,,,1.141041667,0.025517665,,,,,
PH2C6F5-Et-Br,1.864473684,2.3,2.96,0,2,14.8,88,4,,,,,2.247236842,0.024832657,,,,,
PH2C6F5-Et-CF3,1.864473684,2.3,3.6225,0,2,14.4,89,4,,,,,2.412861842,0.024634525,,,,,
none-Ph-Et,0,2.390909091,2.3,0,0,-13.7,90,1,,,,,1.172727273,0.024270451,,,,,
CAAC-CF3-NMe2,2.157687651,3.6225,2.371111111,0,3,40.54,91,4,,,,,2.577246603,0.024190692,,,,,
